Model,Best Params,R²,RMSE,MAE,MAPE (%),CV R² Mean,CV R² Std
XGBoost,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.0277,3.6028,2.9389,49.43,0.0276,0.0012
Decision Tree,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 3}",0.0272,3.6038,2.9429,49.43,0.0276,0.0011
Linear Regression,"{'positive': False, 'fit_intercept': True}",0.0054,3.6439,2.9542,50.01,0.0046,0.0003
