Model,R²,RMSE,MAE,CV R² Mean
XGBoost,0.9024,2.2867000102996826,0.902999997138977,0.9014
LightGBM,0.9023,2.2883,0.9002,0.9016
Gradient Boosting,0.9,2.3142,0.8573,0.9003
Random Forest,0.8985,2.3323,0.8777,0.8982
