Model,R²,RMSE,MAE,CV R² Mean
LightGBM,0.884,1.2352,0.5191,0.8819
Gradient Boosting,0.8839,1.2358,0.5079,0.8817
XGBoost,0.8838,1.236199975013733,0.524399995803833,0.8817
Random Forest,0.8809,1.2517,0.5196,0.878
